company,date,vader_daily_sentiment_score,finbert_daily_sentiment_score,news_count,vader_sentiment_std,finbert_sentiment_std
Biogen,2024-11-07,0.7275,0.0,2,0.08061017305526637,0.0
Biogen,2024-11-08,0.0,0.0,1,0.0,0.0
Biogen,2024-11-10,0.33525,0.0,2,0.4741150967855801,0.0
Biogen,2024-11-11,0.0,0.0,1,0.0,0.0
Biogen,2024-11-13,0.5106,0.0,1,0.0,0.0
Biogen,2024-11-14,0.35883333333333334,0.15157767136891684,6,0.2881020490497537,0.3712879512531212
Biogen,2024-11-16,0.7564333333333333,0.0,3,0.0794083958617307,0.0
Biogen,2024-11-17,0.71775,0.0,2,0.06682159082212877,0.0
Biogen,2024-11-18,0.32080909090909093,0.2727268392389471,11,0.23300728509875163,0.4670986240624907
Biogen,2024-11-19,0.3615,0.5511391997337342,5,0.4750689897267554,0.5065774289668217
